"Female" "PC" "Clm_Count" "Exp_weights" "NCD" "AgeCat" "VAgeCat"
"34" 0 1 0 0.41889117 40 3 6
"35" 0 1 0 0.084873374 20 4 0
"36" 0 1 0 0.837782341 50 5 0
"37" 0 1 0 0.547570157 10 4 6
"38" 0 1 1 0.895277207 20 3 6
"39" 0 1 1 0.851471595 30 3 0
"40" 0 1 0 0.334017796 50 5 6
"41" 0 1 0 0.752908967 50 6 6
"42" 1 1 1 0.914442163 50 4 2
"43" 0 1 0 0.999315537 20 3 6
"44" 0 1 0 0.665297741 30 4 0
"45" 1 1 0 0.999315537 0 7 6
"46" 0 1 0 0.240930869 0 3 2
"47" 0 1 0 0.837782341 50 3 6
"48" 1 1 0 0.334017796 50 4 2
"49" 0 1 0 0.90349076 0 4 6
"50" 0 1 0 0.254620123 30 3 6
"51" 0 1 0 0.167008898 50 4 6
"52" 1 1 0 0.405201917 0 4 6
"53" 0 1 0 0.503764545 20 3 6
"54" 1 1 0 0.999315537 50 4 6
"55" 0 1 0 0.670773443 40 4 6
"56" 0 1 0 0.334017796 10 4 6
"57" 0 1 0 0.328542095 10 4 6
"58" 0 1 0 0.813141684 10 3 2
"59" 0 1 0 0.919917865 0 3 6
"60" 0 1 0 0.914442163 50 3 0
"61" 0 1 0 0.908966461 50 6 6
"62" 0 1 0 0.271047228 0 3 0
"63" 0 1 0 0.862422998 50 3 0
"64" 0 1 0 0.837782341 10 4 6
"65" 0 1 0 0.569472964 0 2 0
"66" 0 1 0 0.982888433 0 4 0
"67" 0 1 0 0.583162218 0 3 0
"68" 0 1 0 0.167008898 50 3 0
"69" 0 1 0 0.049281314 0 4 0
"70" 1 1 0 0.654346338 20 3 0
"71" 0 1 0 0.295687885 0 4 0
"72" 0 1 0 0.999315537 50 3 0
"73" 0 1 0 0.084873374 0 4 0
"74" 0 1 0 0.084873374 50 5 0
"75" 0 1 0 0.084873374 0 3 0
"76" 0 1 0 0.084873374 20 4 0
"77" 1 1 0 0.084873374 50 3 0
"78" 0 1 0 0.082135524 50 6 0
"79" 0 1 0 0.999315537 50 4 0
"80" 0 1 0 0.503764545 30 4 0
"81" 0 1 0 0.41889117 40 4 0
"82" 0 1 0 0.366872006 10 2 0
"83" 1 1 0 0.900752909 50 4 0
"84" 0 1 0 0.676249144 0 4 6
"85" 0 1 0 0.084873374 0 6 0
"86" 0 1 0 0.657084189 0 4 0
"87" 0 1 0 0.999315537 0 4 0
"88" 0 1 0 0.531143053 0 4 6
"90" 0 1 0 0.914442163 50 5 0
"91" 0 1 0 0.010951403 0 4 0
"92" 0 1 0 0.41889117 40 4 0
"93" 0 1 0 0.599589322 0 3 0
"94" 0 1 0 0.334017796 20 3 0
"95" 0 1 0 0.837782341 50 4 0
"96" 0 1 0 0.334017796 50 6 0
"97" 0 1 0 0.334017796 50 4 0
"98" 0 1 0 0.334017796 10 3 0
"99" 0 1 0 0.257357974 30 4 0
"100" 0 1 0 0.837782341 40 4 0
"101" 0 1 0 0.752908967 50 3 0
"102" 0 1 0 0.744695414 50 5 0
"103" 0 1 0 0.62422998 0 2 0
"104" 0 1 0 0.5229295 0 3 0
"105" 0 1 0 0.167008898 50 4 0
"106" 0 1 0 0.10403833 0 2 0
"107" 0 1 0 0.084873374 50 4 0
"108" 0 1 0 0.065708419 0 4 0
"109" 0 1 0 0.977412731 50 4 0
"110" 0 1 0 0.925393566 10 4 0
"111" 0 1 0 0.999315537 50 4 0
"112" 0 1 1 0.856947296 0 4 1
"113" 1 1 0 0.996577687 50 3 0
"114" 0 1 0 0.481861739 50 6 0
"115" 0 1 0 0.125941136 0 4 0
"116" 0 1 0 0.999315537 0 5 0
"117" 0 1 0 0.41889117 30 4 0
"118" 0 1 0 0.41889117 50 4 0
"119" 0 1 0 0.856947296 20 3 0
"120" 1 1 0 0.670773443 0 3 0
"121" 0 1 1 0.728268309 0 5 0
"122" 0 1 0 0.41889117 10 5 0
"123" 0 1 0 0.41889117 10 4 0
"124" 1 1 0 0.914442163 50 5 0
"125" 0 1 0 0.334017796 50 3 0
"126" 0 1 0 0.005475702 0 2 0
"127" 0 1 0 0.167008898 0 4 0
"128" 1 1 0 0.837782341 50 4 0
"129" 0 1 0 0.251882272 0 4 0
"130" 0 1 0 0.213552361 0 3 0
"131" 0 1 0 0.334017796 50 5 0
"132" 0 1 0 0.13963039 0 3 0
"133" 0 1 0 0.752908967 10 5 6
"134" 0 1 0 0.251882272 0 3 0
"135" 0 1 0 0.167008898 30 4 0
"136" 0 1 0 0.985626283 10 3 0
"137" 0 1 1 0.13963039 0 3 0
"138" 0 1 0 0.646132786 50 4 0
"139" 0 1 0 0.525667351 0 4 0
"140" 0 1 0 0.134154689 50 4 0
"141" 0 1 0 0.167008898 0 3 0
"142" 0 1 0 0.084873374 10 3 0
"143" 0 1 0 0.654346338 0 4 0
"144" 0 1 0 0.90349076 0 5 0
"145" 0 1 0 0.084873374 10 4 0
"146" 0 1 0 0.084873374 40 5 0
"147" 0 1 0 0.084873374 20 6 0
"148" 0 1 0 0.607802875 0 4 0
"149" 0 1 0 0.24366872 0 3 0
"150" 0 1 0 0.684462697 40 5 0
"151" 0 1 0 0.41889117 50 5 0
"152" 0 1 0 0.670773443 50 5 0
"153" 1 1 0 0.999315537 50 3 0
"154" 0 1 0 0.454483231 0 3 0
"155" 0 1 0 0.670773443 50 4 0
"156" 0 1 0 0.405201917 0 3 0
"157" 0 1 0 0.167008898 0 4 0
"158" 0 1 0 0.952772074 0 3 0
"159" 0 1 0 0.481861739 50 4 0
"160" 0 1 0 0.999315537 40 5 0
"161" 1 1 0 0.465434634 10 3 0
"162" 1 1 0 0.944558522 40 2 0
"163" 0 1 0 0.914442163 30 6 6
"164" 0 1 0 0.914442163 50 5 0
"165" 0 1 0 0.167008898 50 4 0
"166" 1 1 0 0.914442163 20 5 0
"167" 0 1 0 0.079397673 0 3 0
"168" 0 1 0 0.843258042 10 2 0
"169" 0 1 0 0.662559891 30 3 0
"170" 0 1 0 0.837782341 50 5 0
"171" 0 1 0 0.473648186 40 3 0
"172" 0 1 0 0.334017796 20 4 0
"173" 0 1 0 0.306639288 50 4 0
"174" 0 1 0 0.837782341 10 3 0
"175" 1 1 0 0.837782341 0 4 0
"176" 0 1 0 0.391512663 50 3 0
"177" 0 1 0 0.142368241 20 4 0
"178" 0 1 0 0.752908967 50 4 0
"179" 1 1 0 0.807665982 50 3 1
"180" 0 1 0 0.251882272 20 5 0
"181" 0 1 0 0.733744011 10 4 0
"182" 0 1 0 0.914442163 50 4 0
"183" 0 1 0 0.167008898 10 3 0
"184" 0 1 0 0.865160849 10 4 0
"185" 0 1 0 0.167008898 50 5 0
"186" 0 1 0 0.41889117 50 3 0
"187" 1 1 0 0.733744011 0 4 0
"188" 1 1 0 0.503764545 50 4 0
"189" 0 1 0 0.309377139 0 4 0
"190" 0 1 0 0.525667351 10 3 0
"191" 0 1 0 0.999315537 50 5 0
"192" 0 1 0 0.372347707 20 5 0
"193" 0 1 0 0.013689254 30 2 0
"194" 0 1 0 0.240930869 0 3 0
"195" 0 1 0 0.65982204 30 4 1
"196" 0 1 0 0.670773443 0 4 0
"197" 0 1 0 0.503764545 0 2 0
"198" 0 1 0 0.41889117 20 5 0
"199" 0 1 0 0.079397673 0 5 0
"200" 1 1 0 0.681724846 0 3 0
"201" 0 1 0 0.952772074 50 4 0
"202" 0 1 0 0.334017796 50 5 0
"203" 0 1 0 0.41889117 50 5 0
"204" 0 1 0 0.413415469 40 6 0
"205" 0 1 0 0.41889117 10 3 0
"206" 0 1 0 0.670773443 10 4 0
"207" 0 1 0 0.295687885 50 5 0
"208" 0 1 0 0.837782341 50 5 1
"209" 1 1 1 0.657084189 0 3 0
"210" 1 1 0 0.83504449 50 4 2
"211" 0 1 0 0.752908967 50 6 0
"212" 1 1 0 0.837782341 0 4 0
"213" 0 1 1 0.698151951 50 5 0
"214" 0 1 0 0.670773443 10 3 0
"215" 0 1 0 0.167008898 50 6 0
"216" 0 1 0 0.585900068 10 3 0
"217" 0 1 0 0.240930869 0 3 0
"218" 0 1 0 0.684462697 0 3 0
"219" 0 1 0 0.084873374 50 4 0
"220" 0 1 0 0.670773443 0 6 0
"221" 0 1 1 0.240930869 50 3 0
"222" 0 1 0 0.084873374 40 4 0
"223" 0 1 0 0.583162218 30 3 0
"224" 0 1 0 0.506502396 50 4 0
"225" 0 1 0 0.344969199 30 3 0
"226" 0 1 1 0.733744011 50 4 0
"227" 0 1 0 0.752908967 50 5 0
"228" 0 1 0 0.654346338 0 3 0
"229" 0 1 0 0.032854209 30 3 0
"230" 0 1 0 0.503764545 30 3 0
"231" 0 1 0 0.205338809 0 4 0
"232" 1 1 0 0.999315537 10 4 0
"233" 0 1 0 0.375085558 0 3 0
"234" 0 1 0 0.17522245 0 3 0
"235" 1 1 0 0.908966461 0 3 0
"236" 0 1 0 0.503764545 50 4 0
"237" 0 1 1 0.421629021 0 4 0
"238" 0 1 0 0.271047228 20 3 0
"239" 0 1 0 0.999315537 50 3 0
"240" 0 1 0 0.936344969 10 6 0
"241" 0 1 0 0.999315537 50 4 0
"242" 0 1 0 0.662559891 0 2 0
"243" 0 1 0 0.183436003 50 4 0
"244" 1 1 0 0.999315537 50 3 0
"245" 0 1 0 0.41889117 10 3 0
"246" 0 1 0 0.388774812 0 3 0
"247" 0 1 0 0.914442163 50 4 0
"248" 1 1 0 0.314852841 10 4 0
"249" 0 1 0 0.290212183 0 4 0
"250" 0 1 0 0.13963039 40 3 0
"251" 0 1 0 0.914442163 30 3 0
"252" 0 1 0 0.837782341 50 3 0
"253" 0 1 0 0.837782341 50 3 0
"254" 0 1 0 0.574948665 0 3 0
"255" 0 1 0 0.837782341 50 5 0
"256" 0 1 0 0.837782341 50 5 0
"257" 0 1 0 0.375085558 0 3 0
"258" 0 1 0 0.876112252 20 3 0
"259" 0 1 0 0.334017796 50 5 0
"260" 0 1 0 0.999315537 50 6 0
"261" 1 1 0 0.752908967 10 4 0
"262" 0 1 0 0.752908967 0 3 0
"263" 0 1 0 0.670773443 50 7 0
"264" 0 1 0 0.889801506 0 5 0
"265" 0 1 0 0.670773443 10 3 0
"266" 1 1 0 0.635181383 0 2 0
"267" 0 1 0 0.167008898 50 4 0
"268" 0 1 0 0.084873374 0 5 0
"269" 1 1 0 0.761122519 0 2 0
"270" 0 1 0 0.585900068 30 4 0
"271" 0 1 0 0.914442163 40 5 0
"272" 0 1 0 0.41889117 10 4 0
"273" 0 1 0 0.377823409 30 4 0
"274" 0 1 0 0.531143053 40 5 0
"275" 0 1 0 0.503764545 50 5 0
"276" 0 1 0 0.914442163 50 5 0
"277" 0 1 0 0.402464066 40 7 0
"278" 0 1 0 0.049281314 50 3 0
"279" 0 1 0 0.41889117 50 3 6
"280" 0 1 0 0.334017796 40 3 0
"282" 0 1 0 0.41889117 30 4 0
"283" 0 1 0 0.900752909 0 3 0
"284" 0 1 0 0.334017796 50 4 0
"285" 0 1 0 0.334017796 20 3 0
"286" 0 1 0 0.999315537 50 3 0
"287" 0 1 0 0.164271047 30 3 2
"288" 0 1 0 0.752908967 10 4 0
"289" 0 1 0 0.670773443 40 4 0
"290" 0 1 0 0.101300479 10 3 0
"291" 0 1 2 0.752908967 30 4 0
"292" 0 1 0 0.084873374 50 5 0
"293" 0 1 0 0.761122519 0 3 6
"294" 0 1 0 0.999315537 50 4 0
"295" 1 1 0 0.334017796 40 4 0
"296" 0 1 1 0.900752909 0 3 0
"297" 0 1 0 0.588637919 40 4 0
"298" 0 1 0 0.142368241 0 3 0
"299" 0 1 0 0.503764545 50 4 0
"300" 0 1 0 0.999315537 50 5 0
"301" 1 1 0 0.301163587 10 3 0
"302" 0 1 0 0.161533196 0 4 0
"303" 0 1 0 0.490075291 30 4 0
"304" 0 1 0 0.468172485 0 3 0
"305" 1 1 0 0.41889117 20 4 0
"306" 0 1 0 0.906228611 50 4 0
