"Anno" "Risultato" "Sesso"
"1" 1896 12 "M"
"5" 1900 11 "M"
"8" 1904 11 "M"
"11" 1906 11.2 "M"
"14" 1908 10.8 "M"
"17" 1912 10.8 "M"
"20" 1920 10.8 "M"
"23" 1924 10.6 "M"
"26" 1928 10.8 "M"
"83" 1928 12.2 "W"
"29" 1932 10.3 "M"
"86" 1932 11.9 "W"
"32" 1936 10.3 "M"
"89" 1936 11.5 "W"
"35" 1948 10.3 "M"
"92" 1948 11.9 "W"
"38" 1952 10.4 "M"
"95" 1952 11.5 "W"
"41" 1956 10.5 "M"
"98" 1956 11.5 "W"
"44" 1960 10.2 "M"
"101" 1960 11 "W"
"47" 1964 10 "M"
"104" 1964 11.4 "W"
"50" 1968 9.95 "M"
"107" 1968 11 "W"
"53" 1972 10.14 "M"
"110" 1972 11.07 "W"
"56" 1976 10.06 "M"
"113" 1976 11.08 "W"
"59" 1980 10.25 "M"
"116" 1980 11.06 "W"
"62" 1984 9.99 "M"
"119" 1984 10.97 "W"
"65" 1988 9.92 "M"
"122" 1988 10.54 "W"
"68" 1992 9.96 "M"
"125" 1992 10.82 "W"
"71" 1996 9.84 "M"
"128" 1996 10.94 "W"
"74" 2000 9.87 "M"
"131" 2000 11.12 "W"
"77" 2004 9.85 "M"
"134" 2004 10.93 "W"
"80" 2008 9.69 "M"
"137" 2008 10.78 "W"
